classic_name,classic_job,classic_describe,classic_feature,classic_masteries,classic_optional_races
唤魔师,治疗者、伤害输出,龙裔之力的掌控者 龙希尔唤魔师诞生于世，能够驾驭五大巨龙军团的统合之力，并渴望在艾泽拉斯铸成自己的道路。他们可以通过魔法强化龙裔技能，积蓄力量并在合适的时候释放，从而产生毁灭性的效果。他们还能顺应形势的变化，利用非凡的机动能力自由来去。 职业资料 唤魔师拥有特殊的蓄力技能，可以改变施放法术和技能的强度。明智的唤魔师可以利用好蓄力法术，在中距离激烈交战，以炽热的火焰吐息摧毁敌人，或者保护盟友的战斗状态。 战斗职责 治疗者、伤害输出使用资源 生命值、法力值、精华护甲类型 锁甲可用武器 匕首、拳套、斧、锤、剑、法杖,特点  治疗 唤魔师可以引导青铜龙和绿龙军团的力量，增强与治疗自己的盟友。 远程伤害输出 唤魔师可以在中距离作战，施放炽热的吐息攻击，以红龙和蓝龙军团的力量湮灭敌人。 机动性 龙裔之力为唤魔师赋予了非凡的机动性，他们能够在战场上翱翔，从空中降下毁灭。 蓄力技能 唤魔师可以通过魔法强化龙裔技能，积蓄力量并在合适的时候释放，从而取得最佳效果。,专精 湮灭唤魔师能够运用红龙与蓝龙军团的力量，向敌人输出毁灭性的伤害。恩护唤魔师可以驾驭绿龙和青铜龙军团的力量，在战斗中治愈盟友。  增辉 用黑龙之力为盟友注能，用青铜魔法扭曲时间，扭转盟友的命运。 偏好武器：法杖、剑、匕首、锤 湮灭 将内心的力量化为混沌的红龙烈焰，或者精准的蓝龙魔法，用毁灭之力笼罩战场。 偏好武器： 法杖、剑、匕首、锤 恩护 召唤翡翠梦境令生命复苏，以及召唤青铜龙的时间之沙，阻止伤害的降临。 偏好武器： 法杖、剑、匕首、锤,"龙希尔

龙希尔"
死亡骑士,坦克，伤害输出,"毁灭的前锋 死亡骑士脱离了巫妖王的掌控之后，这些昔日的追随者们纷纷在黑锋骑士团内找到了新的使命。为了控制天灾军团，伯瓦尔·弗塔根在戴上头盔后，号召新一代的死亡骑士加入黑锋骑士团的行列。 职业资料 死亡骑士与敌人近距离交战， 用黑暗魔法增强武器, 以邪恶力量来伤害或削弱敌人。他们会把敌人拖进一对一的战斗，强迫他们转移攻击的目标以保护脆弱的同伴。 为避免敌人从他们的控制中逃脱，死亡骑士必须小心使用他们召唤符文的力量，并控制攻击的节奏。 战斗职责 坦克，伤害输出使用资源 生命，符文能量，符文护甲类型 板甲可用武器 斧，锤，剑，长柄武器",特点  坦克 为使自己和同伴在战斗中免于死亡，死亡骑士穿戴着沉重的盔甲，用他们的利刃抵挡敌人的攻击。 近战伤害输出 死亡骑士的符文剑被黑暗魔法强化，可以释放符文的力量进行凶狠的攻击。 符文熔铸 死亡骑士与他们的利刃之间有着密切的感情，他们可以将符文熔铸到武器上，让它们变得更加强大。,专精 死亡骑士的战斗天赋可以让他们在专注于自我治疗时提供强大的防御能力，也能够强化他们的伤害和法术攻击，还可以利用符文召唤仆从与疾病。  鲜血 黑暗的守护者，控制和腐蚀生命能量来抵御攻击。 偏好武器：双手斧、锤和剑 冰霜 冰冻末日的使者，引导符文能量，用武器猛攻敌人。 偏好武器：双持斧、锤和剑 邪恶 枯萎与凋零的主宰，能够散播疫病，召唤不死仆从。 偏好武器：双手斧、锤和剑,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人"
恶魔猎手,坦克，伤害输出,无情的捕食者 作为伊利丹·怒风的追随者，恶魔猎手继承了他黑暗的遗产。无论是敌人还是盟友都对他们的力量心怀畏惧。伊利达雷自愿接受了邪能和混乱魔法，正是这样的能量长期威胁着艾泽拉斯，但他们相信这是抗击燃烧军团所必需的。他们驾驭着死于自己手下的恶魔的力量，同时身上也带上了恶魔的特质，这让他们的精灵同胞们感到厌恶与恐惧。 职业资料 抛弃了沉重的护甲，恶魔猎手专注于速度的提升，他们可以用最快的速度缩短与敌人的距离，用单手武器对其发动致命的打击。同时，伊利达雷也可以利用敏捷的身法进行防御，保证战斗向他们希望的方向发展。 战斗职责 坦克，伤害输出使用资源 生命，恶魔之怒护甲类型 皮甲可用武器 战刃，拳套，单手斧，单手剑,特点  坦克 恶魔猎手体内涌动的混乱能量让他们有着无人可比的持久力。 近战伤害输出 恶魔猎手可以使用二段跳切入战斗或避开危险，甚至可以展开他们恶魔般的双翼在空中滑翔，从天而降向对手发动奇袭。 恶魔变身 恶魔猎手可以变身成为地狱般的形态，强化他们所选择的战斗职责：专注于伤害的伊利达雷可以瞬间移动到战斗地点，而那些专精于防御的恶魔猎手则可以获得强大的辅助光环效果。 幽灵视觉 恶魔猎手虽然表面上失去了双眼，但这反而更强化了他们的感知能力。他们靠着被魔法强化的视觉侦测敌人，即使是躲在障碍物后面的敌人也可以一览无遗。,专精 恶魔猎手可以支配混乱能量，为敌人带来浩劫；他们也可以将力量用来抵抗伤害，并发动复仇攻击。  浩劫 恐怖的战刃大师，使用邪能魔法的破灭之力。 偏好武器：战刃、剑、斧和拳套 复仇 接受内心的恶魔，用它烧尽敌人，保护盟友。 偏好武器：战刃、剑、斧和拳套,"暗夜精灵

血精灵"
德鲁伊,坦克，治疗者，伤害输出,狂野的变形者 德鲁伊能驾驭强大的自然力量来维护平衡、保护生命。经验丰富的德鲁伊可以向敌人倾泄自然的原始能量，从远处召唤星界的愤怒砸向他们，用强化过的藤蔓束缚他们，或是将他们困在不息的旋风之中。 职业资料 德鲁伊是全能的战斗者，可以担任几乎任何职责——治疗，坦克，伤害输出。对德鲁伊来说重要的是根据战斗的局面选择形态，因为每种形态都是为了满足某种特定的目的。 战斗职责 坦克，治疗者，伤害输出使用资源 生命，法力，怒气，能量，星界能量护甲类型 皮甲可用武器 匕首，拳套，锤，长柄武器，法杖,特点  坦克 当变身为熊形态的时候，德鲁伊拥有厚实的皮肤和威风的外表，这让他们成为了理想的前排保护者，守卫那些弱小的伙伴。 治疗 通过召唤自然的力量，德鲁伊可以迅速地为受伤的盟友恢复生命。 近战及远程伤害输出 德鲁伊可以化身为凶蛮的猎豹，用利爪与尖牙与敌人近身战斗；也可以变成狂野的枭兽，从远处轰击敌人。 变形 德鲁伊切换形态的能力可以让他们适应不同的战斗职责，并专精强化自己的坦克、治疗或伤害能力。同时他们也可以通过切换形态，在陆地、海洋及天空更快地旅行。,专精 德鲁伊的天赋可以关注于开发自然动物形态的潜力，强化召唤自然现象的能力，或是他们提高救死扶伤的治疗法术的效果。  平衡 变形为强大的枭兽，释放奥术和自然的平衡之力。 偏好武器：法杖、匕首和锤 野性 致命的猎豹形态，利用撕咬和流血造成大量伤害。 偏好武器：法杖和长柄武器 守护 强大的熊形态，吸收伤害并保护盟友。 偏好武器：法杖和长柄武器 恢复 使用自然魔法使盟友重焕活力。 偏好武器：法杖、匕首和锤,"暗夜精灵

狼人

库尔提拉斯人

牛头人

巨魔

至高岭牛头人

赞达拉巨魔"
武僧,坦克，治疗者，伤害输出,冥想的格斗家 几个世纪以前，当熊猫人还臣服于魔古族统治的时候，是武僧们为潘达利亚黯淡的未来带来了些许希望。由于被当时的统治者们剥夺了使用武器的权利，熊猫人们专注于练习运用真气进行徒手战斗。当起义反抗的时机成熟时，训练有素的熊猫人们已经有足够的能力粉碎奴役的枷锁。 职业资料 不论他们在战斗中扮演何种角色，武僧用自己的拳脚展现自己的实力，用流淌在自身体内的真气来强化自己的能力。武僧可以在治愈盟友的同时对敌人造成伤害。 战斗职责 坦克，治疗者，伤害输出使用资源 生命，真气，能量，法力护甲类型 皮甲可用武器 拳套，单手斧，单手锤，单手剑，长柄武器，法杖,特点  坦克 强悍的武僧可以用醉人的美酒和异乎寻常的敏捷身手吸引敌人的注意，以保护自己的盟友。 治疗 武僧可以引导神秘的力量，治疗受伤的盟友。 近战伤害输出 武僧是真正的禅宗高手，他们可以用精确而优雅的拳法对敌人造成最大的伤害。 至尊天神 至尊天神是四名守护潘达利亚的荒野之神，武僧便是借助了他们的一部分力量。,专精 武僧的天赋主要集中于引导真气能量，他们可以通过强化自己的身法和限制敌人的行动来控制战局，甚至可以在治疗盟友的同时输出伤害。  酒仙 坚韧斗士，以变化莫测的身法闪避伤害并保护盟友。 偏好武器：法杖、长柄武器 织雾 在青龙的指引下操纵生命能量的神秘治疗者。 偏好武器：法杖、锤和剑 踏风 武艺无双，尤其擅长拳脚功夫的武者。 偏好武器：拳套、斧、锤和剑,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

土灵

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
术士,伤害输出,禁忌能量的引导者 面对恶魔的力量时，大多数英雄只看到了死亡。但术士看到的却只有机遇。他们的目标是支配这样的力量，并且在黑暗魔法中找到了手段。这些贪婪的施法者召唤恶魔仆从与他们并肩作战。最初，他们控制的只是一些小鬼。但是获取了更多的知识后，诱人的魅魔，忠诚的虚空行者，以及可怕的地狱犬也会加入黑暗巫师的队伍，它们会疯狂地蹂躏那些挡在他们主人道路上的家伙。 职业资料 术士用疾病与黑暗的魔法削弱敌人，然后将他们焚烧毁灭。恶魔宠物会保护并强化术士，同时术士会从远处攻击敌人。作为虚弱的施法者，术士无法穿戴重甲，但精明的他们会让仆从首当其冲地接受敌人的攻击，以便保证自己的安全。 战斗职责 伤害输出使用资源 生命，法力，灵魂碎片护甲类型 布甲可用武器 匕首，单手剑，法杖，魔杖,特点  远程伤害输出 术士通过法术造成火焰和暗影伤害，他们可以造成瞬时的痛苦，也能够持续折磨对手。 召唤 术士能够熟练地将盟友召唤到自己的面前，不管这个盟友是其他英雄，还是嗜血的恶魔。 恶魔 术士勒令恶魔服从他们的意志。这些来自地狱的爪牙会用生命保卫主人，或向敌人倾泄死亡之雨。 诅咒 术士会用衰弱性诅咒削弱敌人，降低他们还击的能力。,专精 术士的天赋可以提升燃烧魔法的伤害，让他们的诅咒和持续伤害法术更有威力，或是强化恶魔仆从。  痛苦 暗影魔法大师，擅长吸取能量和持续伤害法术。 偏好武器：法杖、魔杖、匕首和剑 恶魔学识 恶魔指挥官，扭曲恶魔之魂来施展破坏之力。 偏好武器：法杖、魔杖、匕首和剑 毁灭 混乱魔法的大师，能用灾厄的烈焰将敌人焚烧殆尽。 偏好武器：法杖、魔杖、匕首和剑,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

龙希尔

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

土灵

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

龙希尔

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
法师,伤害输出,时空的掌控者 只有最敏锐、聪慧、严于律己的学生才能够走上法师之路。法师所能够掌握的奥术魔法太过强大而危险，只有最专注的研习者才能够窥见其中的奥秘。为了避免干扰施法，法师只会穿着布甲，但他们可以通过法力的护盾与强化得到额外的保护。为了阻止敌人，法师可以召唤喷吐的火焰点燃目标，或是让一片区域的地面喷出烈焰，让整队的敌人燃烧起来。 职业资料 法师会用神秘的咒语摧毁敌人。虽然他们有着威力巨大的攻击性法术，但法师并不强壮，装甲也很单薄，这使得他们面对近距离攻击时非常脆弱。精明的法师会精心使用法术，将他们的敌人限制在一定距离或者控制在适当的位置。 战斗职责 伤害输出使用资源 生命，法力护甲类型 布甲可用武器 魔杖，匕首，单手剑，法杖,特点  远程伤害输出 法师可以消耗魔法值，以惊人的速度输出大量伤害，不过必须注意不要疲劳过度。 范围法术 通过召唤冰霜之雨、烈焰之柱和奥术能量波浪，法师可以有效地同时攻击众多的敌人。 控制 法师有着许多控制战场的手段，可以将敌人冻在原地，或是将他们变成无助的小动物。 传送 法师具有将他们自己和队友在各个城市间传送的能力，并且可以召唤恢复用的食物和水。,专精 法师的天赋专注于强化单系的法术：快速的、高攻击性的火焰法术；高效的、有控制效果的冰霜法术；以及无人能敌的奥术法术。  奥术 操纵奥术之力，以压倒性的能量毁灭敌人。 偏好武器：法杖、魔杖、匕首和剑 火焰 使用灼热的火球和燃烧的烈焰烧尽敌人。 偏好武器：法杖、魔杖、匕首和剑 冰霜 使用冰霜魔法冻结敌人，再彻底粉碎他们的身体。 偏好武器：法杖、魔杖、匕首和剑,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

龙希尔

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

土灵

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

龙希尔

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
萨满祭司,治疗者，伤害输出,元素的化身 萨满祭司是灵魂的指引者，他们侍奉的不是神灵，而是每一种元素。与其他某些宗教不同的是，萨满祭司与之交流的力量并不会怀着仁慈的善心。这些元素的混乱无序的，有着自己的计谋，还会在驱使下彼此攻击。只有萨满祭司的呼唤能够为这混乱的局面带来平衡。作为大地、火焰、流水与空气之间的调解者，萨满祭司会召唤图腾，指引元素援助他们的盟友，或是惩罚那些给他们带来威胁的人。 职业资料 在战斗中，萨满祭司可以一边与敌人周旋，一边在地上放置图腾，造成伤害或控制敌人，以达到最大的战斗效果。萨满祭司有着足够多的战斗手段，能够远程作战，也可以贴身肉搏，但明智的萨满祭司会根据敌人的强项与弱点选择他们的战斗方式。 战斗职责 治疗者，伤害输出使用资源 生命，法力，漩涡值护甲类型 锁甲，盾牌可用武器 匕首，拳套，锤，法杖,特点  治疗 萨满祭司能够通过召唤灵魂力量治疗受伤的队友。 近战伤害输出 萨满祭司借助元素的效果强化武器，每次挥动武器时都会附带火焰、狂风或是寒冰的力量。 远程伤害输出 萨满祭司掌控着元素之力，可以用雷击、地震和熔岩从远距离杀伤敌人。 图腾 萨满祭司可以布下多种不同的图腾，每个图腾都有着独一无二的效果，恢复更多的生命、造成更高的伤害，或是强化群体控制效果。,专精 萨满祭司的天赋可以让他们更有效地治愈伤口、增强近战攻击或是召唤元素的力量。  元素 驾驭元素的施法者，使用自然的毁灭之力打击敌人。 偏好武器：锤、匕首，加上盾 增强 信仰图腾之力，使用灌注元素能量的武器攻击敌人。 偏好武器：双持斧、锤和拳套 恢复 召唤先祖之魂和水之净化能量来治愈盟友的创伤。 偏好武器：锤、匕首，加上盾,"矮人

德莱尼

熊猫人

黑铁矮人

库尔提拉斯人

土灵

兽人

牛头人

巨魔

地精

熊猫人

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
牧师,治疗者，伤害输出,光与影的祈求者 牧师致力于升华他们的精神，通过造福大众来表达他们坚定不移的信念。 在过去的千百年中，每当大地遭受战火、盟友需要他们支援的时候，他们都会抛开舒适的生活，离开与世隔绝的神殿。在可怕的战斗发生时，没有哪位英雄会质疑牧师教团的价值。 职业资料 牧师使用强大的治疗魔法来保护他们自己向伴。他们也能在远处施放强大的攻击性法术，但孱弱的身体和单薄的装甲会让他们在敌人面前处于劣势。经验丰富的牧师会细心地在使用攻击法术与维系队友生存之间找到平衡。 战斗职责 治疗者，伤害输出使用资源 生命，法力，狂乱值护甲类型 布甲可用武器 匕首，单手锤，法杖，魔杖,特点  治疗 牧师运用他们的神圣力量为自己与同伴恢复生命。 远程伤害 牧师的暗影魔法可以造成大量的即时伤害，也能够用摧人心志的痛苦在很长的时间内惩罚敌人。 真言术 牧师能够召唤不可思议的护盾和神圣的力量，阻挡受到的伤害，强化自己与盟友的防御。 精神控制 牧师能够与有生命的目标的意志与灵魂联结起来，控制并操纵他人的行动。,专精 牧师的天赋可以强化他们治愈作品的能力，让他们用暗影的力量威胁敌人，或是使用保护性的祷言强化自身与他人。  戒律 使用护盾保护盟友，也能通过惩击敌人来治愈盟友的伤口。 偏好武器：法杖、魔杖、匕首和锤 神圣 多才多艺，能照顾单体和团队，死后也能继续治疗。 偏好武器：法杖、魔杖、匕首和锤 暗影 使用邪恶的暗影魔法和可怕的虚空魔法来根除敌人。 偏好武器：法杖、魔杖、匕首和锤,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

龙希尔

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

土灵

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

龙希尔

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
潜行者,伤害输出,无声的利刃 潜行者的信条就是契约，而荣誉则可以用金钱来交易。这些雇佣兵们不会被良知束缚，习惯依赖于残忍而高效的战术。他们是致命的刺客，潜行的大师，擅长从背后接近目标，刺穿他们的要害，在受害者倒地之前就消失得无影无踪。 职业资料 潜行者经常从暗处偷袭，率先发动狠毒的近身格斗。在持久战中，他们会利用一套经过精心策划的连续组合攻击削弱敌人的实力，以便施行致命的一击。潜行者在选择目标的时候必须特别谨慎，使他们的组合攻击不至于浪费。如果战斗对他们不利，则必须清楚何时该隐匿或逃逸。 战斗职责 伤害输出使用资源 生命，能量，连击点护甲类型 皮甲可用武器 匕首，拳套，单手斧，单手锤，单手剑,特点  近战伤害输出 潜行者熟练地掌握了双持武器的技巧，可以对目标造成毁灭性的伤害。 潜行 潜行者偷偷潜入战场，躲过敌人的视线并伺机对那些不够警觉的敌人发动突然袭击。 药膏 潜行者会在武器上涂抹药膏，以便快速地消灭受伤的敌人。 连击 通过规划和组合连续的近战攻击，潜行者可以获得连击点，这使得他们能在战斗中造成毁灭性的伤害。,专精 潜行者的天赋能增强他们藏匿在阴影中的能力，用快速而致命的打击消灭敌人，并确保他们在持久的激战斗中存活下来。  奇袭 致命的使毒高手，能用匕首迅速而冷酷地除掉敌人。偏好武器：匕首 狂徒 无情的游荡剑客，擅长与敌人短兵相接。偏好武器：斧、锤、剑和拳套 敏锐 阴影中的追猎者，擅长对猎物发起致命的伏击。偏好武器：匕首,"人类

矮人

暗夜精灵

侏儒

德莱尼

狼人

熊猫人

龙希尔

虚空精灵

光铸德莱尼

黑铁矮人

库尔提拉斯人

机械侏儒

土灵

兽人

亡灵

牛头人

巨魔

血精灵

地精

熊猫人

龙希尔

夜之子

至高岭牛头人

玛格汉兽人

赞达拉巨魔

狐人

土灵"
